ID_INNPACT;ID_REPAYMENT;REPAYMENT_DATE;AMOUNT_VALUE_USD;AMOUNT_VALUE_LOCAL_CCY;LOCAL_CCY
4183459;5;21-01-25;501855,00;12117290;HNL
4183462;0;31-01-23;1666666,67;1666666,667;USD
4183462;1;31-01-24;1666666,67;1666666,667;USD
4183462;2;31-01-25;1666666,67;1666666,667;USD
4183467;0;28-02-23;434606,25;375000;EUR
4183467;1;31-08-23;434606,25;375000;EUR
4183467;2;29-02-24;434606,25;375000;EUR
4183467;3;30-08-24;434606,25;375000;EUR
4183468;0;30-11-23;514540,05;443970,88;EUR
4183468;1;30-05-24;514540,05;443970,88;EUR
4183468;2;02-12-24;514540,05;443970,88;EUR
4183468;3;31-01-25;1029080,09;887941,75;EUR
4183474;0;21-10-21;1500000,00;1500000;USD
